"student_id","term_number","term_name","course_id","credits","action"
"8ivl11vz58",3,"Fall 2020","BUS301",3,"add"
"8ivl11vz58",3,"Fall 2020","BUS323",3,"add"
"8ivl11vz58",3,"Fall 2020","BUS320",3,"add"
"8ivl11vz58",3,"Fall 2020","BUS319",3,"add"
"rzzkqhb0uh",3,"Fall 2020","BUS301",3,"add"
"rzzkqhb0uh",3,"Fall 2020","BUS317",3,"add"
"rzzkqhb0uh",3,"Fall 2020","BUS314",3,"add"
"rzzkqhb0uh",3,"Fall 2020","BUS318",3,"add"
"rzzkqhb0uh",3,"Fall 2020","BUS317",-3,"drop"
"ui5ktto9et",3,"Fall 2020","BUS301",3,"add"
"ui5ktto9et",3,"Fall 2020","BUS317",3,"add"
"wnlicjueky",3,"Fall 2020","BUS301",3,"add"
"wnlicjueky",3,"Fall 2020","BUS305",3,"add"
"wnlicjueky",3,"Fall 2020","BUS322",3,"add"
"wnlicjueky",3,"Fall 2020","BUS311",3,"add"
"k62hggi037",3,"Fall 2020","BUS301",3,"add"
"k62hggi037",3,"Fall 2020","BUS322",4,"add"
"k62hggi037",3,"Fall 2020","BUS330",3,"add"
"qsdxpxxde3",3,"Fall 2020","BUS301",3,"add"
"qsdxpxxde3",3,"Fall 2020","BUS321",3,"add"
"qsdxpxxde3",3,"Fall 2020","BUS301",-3,"drop"
"anv0d4tl5v",3,"Fall 2020","BUS301",4,"add"
"anv0d4tl5v",3,"Fall 2020","BUS323",3,"add"
"anv0d4tl5v",3,"Fall 2020","BUS317",3,"add"
"anv0d4tl5v",3,"Fall 2020","BUS317",-3,"drop"
"3fxuhykqdf",3,"Fall 2020","BUS301",3,"add"
"3fxuhykqdf",3,"Fall 2020","BUS302",3,"add"
"3fxuhykqdf",3,"Fall 2020","BUS301",-3,"drop"
"3fxuhykqdf",3,"Fall 2020","BUS302",-3,"drop"
"bc5pwt17k6",3,"Fall 2020","BUS301",3,"add"
"bc5pwt17k6",3,"Fall 2020","BUS321",3,"add"
"qcrrj1lkxh",3,"Fall 2020","BUS301",3,"add"
"qcrrj1lkxh",3,"Fall 2020","BUS317",3,"add"
"qcrrj1lkxh",3,"Fall 2020","BUS318",3,"add"
"qcrrj1lkxh",3,"Fall 2020","BUS327",3,"add"
"qcrrj1lkxh",3,"Fall 2020","BUS317",-3,"drop"
"zrpfe17m3d",3,"Fall 2020","BUS301",3,"add"
"zrpfe17m3d",3,"Fall 2020","BUS302",3,"add"
"zrpfe17m3d",3,"Fall 2020","BUS323",3,"add"
"zrpfe17m3d",3,"Fall 2020","BUS302",-3,"drop"
"byqoymmfpo",3,"Fall 2020","BUS301",4,"add"
"byqoymmfpo",3,"Fall 2020","BUS326",3,"add"
"xiybclblc1",3,"Fall 2020","BUS301",4,"add"
