"student_id","term_number","term_name","course_id","credits","action"
"g8rnm7mu08",1,"Spring 2020","BUS101",3,"add"
"g8rnm7mu08",1,"Spring 2020","BUS108",3,"add"
"g8rnm7mu08",1,"Spring 2020","BUS114",3,"add"
"g8rnm7mu08",1,"Spring 2020","BUS103",3,"add"
"8ivl11vz58",1,"Spring 2020","BUS101",4,"add"
"8ivl11vz58",1,"Spring 2020","BUS128",4,"add"
"8ivl11vz58",1,"Spring 2020","BUS102",3,"add"
"8ivl11vz58",1,"Spring 2020","BUS106",3,"add"
"8ivl11vz58",1,"Spring 2020","BUS101",-4,"drop"
"rzzkqhb0uh",1,"Spring 2020","BUS101",3,"add"
"rzzkqhb0uh",1,"Spring 2020","BUS118",3,"add"
"rzzkqhb0uh",1,"Spring 2020","BUS118",-3,"drop"
"ui5ktto9et",1,"Spring 2020","BUS101",3,"add"
"ui5ktto9et",1,"Spring 2020","BUS121",3,"add"
"ui5ktto9et",1,"Spring 2020","BUS115",3,"add"
"ui5ktto9et",1,"Spring 2020","BUS124",3,"add"
"wnlicjueky",1,"Spring 2020","BUS101",3,"add"
"wnlicjueky",1,"Spring 2020","BUS109",3,"add"
"k62hggi037",1,"Spring 2020","BUS101",3,"add"
"k62hggi037",1,"Spring 2020","BUS115",3,"add"
"k62hggi037",1,"Spring 2020","BUS125",3,"add"
"k62hggi037",1,"Spring 2020","BUS125",-3,"drop"
"qsdxpxxde3",1,"Spring 2020","BUS101",3,"add"
"qsdxpxxde3",1,"Spring 2020","BUS112",3,"add"
"qsdxpxxde3",1,"Spring 2020","BUS117",3,"add"
"anv0d4tl5v",1,"Spring 2020","BUS101",4,"add"
"anv0d4tl5v",1,"Spring 2020","BUS102",3,"add"
"anv0d4tl5v",1,"Spring 2020","BUS106",3,"add"
"anv0d4tl5v",1,"Spring 2020","BUS105",4,"add"
"bc5pwt17k6",1,"Spring 2020","BUS101",3,"add"
"bc5pwt17k6",1,"Spring 2020","BUS117",3,"add"
"bc5pwt17k6",1,"Spring 2020","BUS117",-3,"drop"
"bc5pwt17k6",1,"Spring 2020","BUS101",-3,"drop"
"byqoymmfpo",1,"Spring 2020","BUS101",3,"add"
"byqoymmfpo",1,"Spring 2020","BUS103",3,"add"
"byqoymmfpo",1,"Spring 2020","BUS119",3,"add"
"xiybclblc1",1,"Spring 2020","BUS101",3,"add"
"xiybclblc1",1,"Spring 2020","BUS130",4,"add"
"xiybclblc1",1,"Spring 2020","BUS113",3,"add"
"h3hnhl70gy",1,"Spring 2020","BUS101",3,"add"
"h3hnhl70gy",1,"Spring 2020","BUS112",3,"add"
"h3hnhl70gy",1,"Spring 2020","BUS120",3,"add"
"h3hnhl70gy",1,"Spring 2020","BUS111",3,"add"
"d8oa9hlv7d",1,"Spring 2020","BUS101",3,"add"
"d8oa9hlv7d",1,"Spring 2020","BUS126",3,"add"
"d8oa9hlv7d",1,"Spring 2020","BUS121",3,"add"
"d8oa9hlv7d",1,"Spring 2020","BUS126",-3,"drop"
"r40ppqpvmp",1,"Spring 2020","BUS101",3,"add"
